日期,年份,季度,月份,周,日,星期几,星期名称,月份名称,是否周末,是否月初,是否月末,季节
2023-01-01,2023,1,1,52,1,7,Sunday,January,是,是,否,冬季
2023-01-02,2023,1,1,1,2,1,Monday,January,否,是,否,冬季
2023-01-03,2023,1,1,1,3,2,Tuesday,January,否,是,否,冬季
2023-01-04,2023,1,1,1,4,3,Wednesday,January,否,是,否,冬季
2023-01-05,2023,1,1,1,5,4,Thursday,January,否,是,否,冬季
2023-01-06,2023,1,1,1,6,5,Friday,January,否,是,否,冬季
2023-01-07,2023,1,1,1,7,6,Saturday,January,是,是,否,冬季
2023-01-08,2023,1,1,1,8,7,Sunday,January,是,是,否,冬季
2023-01-09,2023,1,1,2,9,1,Monday,January,否,是,否,冬季
2023-01-10,2023,1,1,2,10,2,Tuesday,January,否,是,否,冬季
2023-01-11,2023,1,1,2,11,3,Wednesday,January,否,否,否,冬季
2023-01-12,2023,1,1,2,12,4,Thursday,January,否,否,否,冬季
2023-01-13,2023,1,1,2,13,5,Friday,January,否,否,否,冬季
2023-01-14,2023,1,1,2,14,6,Saturday,January,是,否,否,冬季
2023-01-15,2023,1,1,2,15,7,Sunday,January,是,否,否,冬季
2023-01-16,2023,1,1,3,16,1,Monday,January,否,否,否,冬季
2023-01-17,2023,1,1,3,17,2,Tuesday,January,否,否,否,冬季
2023-01-18,2023,1,1,3,18,3,Wednesday,January,否,否,否,冬季
2023-01-19,2023,1,1,3,19,4,Thursday,January,否,否,否,冬季
2023-01-20,2023,1,1,3,20,5,Friday,January,否,否,是,冬季
2023-01-21,2023,1,1,3,21,6,Saturday,January,是,否,是,冬季
2023-01-22,2023,1,1,3,22,7,Sunday,January,是,否,是,冬季
2023-01-23,2023,1,1,4,23,1,Monday,January,否,否,是,冬季
2023-01-24,2023,1,1,4,24,2,Tuesday,January,否,否,是,冬季
2023-01-25,2023,1,1,4,25,3,Wednesday,January,否,否,是,冬季
2023-01-26,2023,1,1,4,26,4,Thursday,January,否,否,是,冬季
2023-01-27,2023,1,1,4,27,5,Friday,January,否,否,是,冬季
2023-01-28,2023,1,1,4,28,6,Saturday,January,是,否,是,冬季
2023-01-29,2023,1,1,4,29,7,Sunday,January,是,否,是,冬季
2023-01-30,2023,1,1,5,30,1,Monday,January,否,否,是,冬季
2023-01-31,2023,1,1,5,31,2,Tuesday,January,否,否,是,冬季
2023-02-01,2023,1,2,5,1,3,Wednesday,February,否,是,否,冬季
2023-02-02,2023,1,2,5,2,4,Thursday,February,否,是,否,冬季
2023-02-03,2023,1,2,5,3,5,Friday,February,否,是,否,冬季
2023-02-04,2023,1,2,5,4,6,Saturday,February,是,是,否,冬季
2023-02-05,2023,1,2,5,5,7,Sunday,February,是,是,否,冬季
2023-02-06,2023,1,2,6,6,1,Monday,February,否,是,否,冬季
2023-02-07,2023,1,2,6,7,2,Tuesday,February,否,是,否,冬季
2023-02-08,2023,1,2,6,8,3,Wednesday,February,否,是,否,冬季
2023-02-09,2023,1,2,6,9,4,Thursday,February,否,是,否,冬季
2023-02-10,2023,1,2,6,10,5,Friday,February,否,是,否,冬季
2023-02-11,2023,1,2,6,11,6,Saturday,February,是,否,否,冬季
2023-02-12,2023,1,2,6,12,7,Sunday,February,是,否,否,冬季
2023-02-13,2023,1,2,7,13,1,Monday,February,否,否,否,冬季
2023-02-14,2023,1,2,7,14,2,Tuesday,February,否,否,否,冬季
2023-02-15,2023,1,2,7,15,3,Wednesday,February,否,否,否,冬季
2023-02-16,2023,1,2,7,16,4,Thursday,February,否,否,否,冬季
2023-02-17,2023,1,2,7,17,5,Friday,February,否,否,否,冬季
2023-02-18,2023,1,2,7,18,6,Saturday,February,是,否,否,冬季
2023-02-19,2023,1,2,7,19,7,Sunday,February,是,否,否,冬季
2023-02-20,2023,1,2,8,20,1,Monday,February,否,否,是,冬季
2023-02-21,2023,1,2,8,21,2,Tuesday,February,否,否,是,冬季
2023-02-22,2023,1,2,8,22,3,Wednesday,February,否,否,是,冬季
2023-02-23,2023,1,2,8,23,4,Thursday,February,否,否,是,冬季
2023-02-24,2023,1,2,8,24,5,Friday,February,否,否,是,冬季
2023-02-25,2023,1,2,8,25,6,Saturday,February,是,否,是,冬季
2023-02-26,2023,1,2,8,26,7,Sunday,February,是,否,是,冬季
2023-02-27,2023,1,2,9,27,1,Monday,February,否,否,是,冬季
2023-02-28,2023,1,2,9,28,2,Tuesday,February,否,否,是,冬季
2023-03-01,2023,1,3,9,1,3,Wednesday,March,否,是,否,春季
2023-03-02,2023,1,3,9,2,4,Thursday,March,否,是,否,春季
2023-03-03,2023,1,3,9,3,5,Friday,March,否,是,否,春季
2023-03-04,2023,1,3,9,4,6,Saturday,March,是,是,否,春季
2023-03-05,2023,1,3,9,5,7,Sunday,March,是,是,否,春季
2023-03-06,2023,1,3,10,6,1,Monday,March,否,是,否,春季
2023-03-07,2023,1,3,10,7,2,Tuesday,March,否,是,否,春季
2023-03-08,2023,1,3,10,8,3,Wednesday,March,否,是,否,春季
2023-03-09,2023,1,3,10,9,4,Thursday,March,否,是,否,春季
2023-03-10,2023,1,3,10,10,5,Friday,March,否,是,否,春季
2023-03-11,2023,1,3,10,11,6,Saturday,March,是,否,否,春季
2023-03-12,2023,1,3,10,12,7,Sunday,March,是,否,否,春季
2023-03-13,2023,1,3,11,13,1,Monday,March,否,否,否,春季
2023-03-14,2023,1,3,11,14,2,Tuesday,March,否,否,否,春季
2023-03-15,2023,1,3,11,15,3,Wednesday,March,否,否,否,春季
2023-03-16,2023,1,3,11,16,4,Thursday,March,否,否,否,春季
2023-03-17,2023,1,3,11,17,5,Friday,March,否,否,否,春季
2023-03-18,2023,1,3,11,18,6,Saturday,March,是,否,否,春季
2023-03-19,2023,1,3,11,19,7,Sunday,March,是,否,否,春季
2023-03-20,2023,1,3,12,20,1,Monday,March,否,否,是,春季
2023-03-21,2023,1,3,12,21,2,Tuesday,March,否,否,是,春季
2023-03-22,2023,1,3,12,22,3,Wednesday,March,否,否,是,春季
2023-03-23,2023,1,3,12,23,4,Thursday,March,否,否,是,春季
2023-03-24,2023,1,3,12,24,5,Friday,March,否,否,是,春季
2023-03-25,2023,1,3,12,25,6,Saturday,March,是,否,是,春季
2023-03-26,2023,1,3,12,26,7,Sunday,March,是,否,是,春季
2023-03-27,2023,1,3,13,27,1,Monday,March,否,否,是,春季
2023-03-28,2023,1,3,13,28,2,Tuesday,March,否,否,是,春季
2023-03-29,2023,1,3,13,29,3,Wednesday,March,否,否,是,春季
2023-03-30,2023,1,3,13,30,4,Thursday,March,否,否,是,春季
2023-03-31,2023,1,3,13,31,5,Friday,March,否,否,是,春季
2023-04-01,2023,2,4,13,1,6,Saturday,April,是,是,否,春季
2023-04-02,2023,2,4,13,2,7,Sunday,April,是,是,否,春季
2023-04-03,2023,2,4,14,3,1,Monday,April,否,是,否,春季
2023-04-04,2023,2,4,14,4,2,Tuesday,April,否,是,否,春季
2023-04-05,2023,2,4,14,5,3,Wednesday,April,否,是,否,春季
2023-04-06,2023,2,4,14,6,4,Thursday,April,否,是,否,春季
2023-04-07,2023,2,4,14,7,5,Friday,April,否,是,否,春季
2023-04-08,2023,2,4,14,8,6,Saturday,April,是,是,否,春季
2023-04-09,2023,2,4,14,9,7,Sunday,April,是,是,否,春季
2023-04-10,2023,2,4,15,10,1,Monday,April,否,是,否,春季
2023-04-11,2023,2,4,15,11,2,Tuesday,April,否,否,否,春季
2023-04-12,2023,2,4,15,12,3,Wednesday,April,否,否,否,春季
2023-04-13,2023,2,4,15,13,4,Thursday,April,否,否,否,春季
2023-04-14,2023,2,4,15,14,5,Friday,April,否,否,否,春季
2023-04-15,2023,2,4,15,15,6,Saturday,April,是,否,否,春季
2023-04-16,2023,2,4,15,16,7,Sunday,April,是,否,否,春季
2023-04-17,2023,2,4,16,17,1,Monday,April,否,否,否,春季
2023-04-18,2023,2,4,16,18,2,Tuesday,April,否,否,否,春季
2023-04-19,2023,2,4,16,19,3,Wednesday,April,否,否,否,春季
2023-04-20,2023,2,4,16,20,4,Thursday,April,否,否,是,春季
2023-04-21,2023,2,4,16,21,5,Friday,April,否,否,是,春季
2023-04-22,2023,2,4,16,22,6,Saturday,April,是,否,是,春季
2023-04-23,2023,2,4,16,23,7,Sunday,April,是,否,是,春季
2023-04-24,2023,2,4,17,24,1,Monday,April,否,否,是,春季
2023-04-25,2023,2,4,17,25,2,Tuesday,April,否,否,是,春季
2023-04-26,2023,2,4,17,26,3,Wednesday,April,否,否,是,春季
2023-04-27,2023,2,4,17,27,4,Thursday,April,否,否,是,春季
2023-04-28,2023,2,4,17,28,5,Friday,April,否,否,是,春季
2023-04-29,2023,2,4,17,29,6,Saturday,April,是,否,是,春季
2023-04-30,2023,2,4,17,30,7,Sunday,April,是,否,是,春季
2023-05-01,2023,2,5,18,1,1,Monday,May,否,是,否,春季
2023-05-02,2023,2,5,18,2,2,Tuesday,May,否,是,否,春季
2023-05-03,2023,2,5,18,3,3,Wednesday,May,否,是,否,春季
2023-05-04,2023,2,5,18,4,4,Thursday,May,否,是,否,春季
2023-05-05,2023,2,5,18,5,5,Friday,May,否,是,否,春季
2023-05-06,2023,2,5,18,6,6,Saturday,May,是,是,否,春季
2023-05-07,2023,2,5,18,7,7,Sunday,May,是,是,否,春季
2023-05-08,2023,2,5,19,8,1,Monday,May,否,是,否,春季
2023-05-09,2023,2,5,19,9,2,Tuesday,May,否,是,否,春季
2023-05-10,2023,2,5,19,10,3,Wednesday,May,否,是,否,春季
2023-05-11,2023,2,5,19,11,4,Thursday,May,否,否,否,春季
2023-05-12,2023,2,5,19,12,5,Friday,May,否,否,否,春季
2023-05-13,2023,2,5,19,13,6,Saturday,May,是,否,否,春季
2023-05-14,2023,2,5,19,14,7,Sunday,May,是,否,否,春季
2023-05-15,2023,2,5,20,15,1,Monday,May,否,否,否,春季
2023-05-16,2023,2,5,20,16,2,Tuesday,May,否,否,否,春季
2023-05-17,2023,2,5,20,17,3,Wednesday,May,否,否,否,春季
2023-05-18,2023,2,5,20,18,4,Thursday,May,否,否,否,春季
2023-05-19,2023,2,5,20,19,5,Friday,May,否,否,否,春季
2023-05-20,2023,2,5,20,20,6,Saturday,May,是,否,是,春季
2023-05-21,2023,2,5,20,21,7,Sunday,May,是,否,是,春季
2023-05-22,2023,2,5,21,22,1,Monday,May,否,否,是,春季
2023-05-23,2023,2,5,21,23,2,Tuesday,May,否,否,是,春季
2023-05-24,2023,2,5,21,24,3,Wednesday,May,否,否,是,春季
2023-05-25,2023,2,5,21,25,4,Thursday,May,否,否,是,春季
2023-05-26,2023,2,5,21,26,5,Friday,May,否,否,是,春季
2023-05-27,2023,2,5,21,27,6,Saturday,May,是,否,是,春季
2023-05-28,2023,2,5,21,28,7,Sunday,May,是,否,是,春季
2023-05-29,2023,2,5,22,29,1,Monday,May,否,否,是,春季
2023-05-30,2023,2,5,22,30,2,Tuesday,May,否,否,是,春季
2023-05-31,2023,2,5,22,31,3,Wednesday,May,否,否,是,春季
2023-06-01,2023,2,6,22,1,4,Thursday,June,否,是,否,夏季
2023-06-02,2023,2,6,22,2,5,Friday,June,否,是,否,夏季
2023-06-03,2023,2,6,22,3,6,Saturday,June,是,是,否,夏季
2023-06-04,2023,2,6,22,4,7,Sunday,June,是,是,否,夏季
2023-06-05,2023,2,6,23,5,1,Monday,June,否,是,否,夏季
2023-06-06,2023,2,6,23,6,2,Tuesday,June,否,是,否,夏季
2023-06-07,2023,2,6,23,7,3,Wednesday,June,否,是,否,夏季
2023-06-08,2023,2,6,23,8,4,Thursday,June,否,是,否,夏季
2023-06-09,2023,2,6,23,9,5,Friday,June,否,是,否,夏季
2023-06-10,2023,2,6,23,10,6,Saturday,June,是,是,否,夏季
2023-06-11,2023,2,6,23,11,7,Sunday,June,是,否,否,夏季
2023-06-12,2023,2,6,24,12,1,Monday,June,否,否,否,夏季
2023-06-13,2023,2,6,24,13,2,Tuesday,June,否,否,否,夏季
2023-06-14,2023,2,6,24,14,3,Wednesday,June,否,否,否,夏季
2023-06-15,2023,2,6,24,15,4,Thursday,June,否,否,否,夏季
2023-06-16,2023,2,6,24,16,5,Friday,June,否,否,否,夏季
2023-06-17,2023,2,6,24,17,6,Saturday,June,是,否,否,夏季
2023-06-18,2023,2,6,24,18,7,Sunday,June,是,否,否,夏季
2023-06-19,2023,2,6,25,19,1,Monday,June,否,否,否,夏季
2023-06-20,2023,2,6,25,20,2,Tuesday,June,否,否,是,夏季
2023-06-21,2023,2,6,25,21,3,Wednesday,June,否,否,是,夏季
2023-06-22,2023,2,6,25,22,4,Thursday,June,否,否,是,夏季
2023-06-23,2023,2,6,25,23,5,Friday,June,否,否,是,夏季
2023-06-24,2023,2,6,25,24,6,Saturday,June,是,否,是,夏季
2023-06-25,2023,2,6,25,25,7,Sunday,June,是,否,是,夏季
2023-06-26,2023,2,6,26,26,1,Monday,June,否,否,是,夏季
2023-06-27,2023,2,6,26,27,2,Tuesday,June,否,否,是,夏季
2023-06-28,2023,2,6,26,28,3,Wednesday,June,否,否,是,夏季
2023-06-29,2023,2,6,26,29,4,Thursday,June,否,否,是,夏季
2023-06-30,2023,2,6,26,30,5,Friday,June,否,否,是,夏季
2023-07-01,2023,3,7,26,1,6,Saturday,July,是,是,否,夏季
2023-07-02,2023,3,7,26,2,7,Sunday,July,是,是,否,夏季
2023-07-03,2023,3,7,27,3,1,Monday,July,否,是,否,夏季
2023-07-04,2023,3,7,27,4,2,Tuesday,July,否,是,否,夏季
2023-07-05,2023,3,7,27,5,3,Wednesday,July,否,是,否,夏季
2023-07-06,2023,3,7,27,6,4,Thursday,July,否,是,否,夏季
2023-07-07,2023,3,7,27,7,5,Friday,July,否,是,否,夏季
2023-07-08,2023,3,7,27,8,6,Saturday,July,是,是,否,夏季
2023-07-09,2023,3,7,27,9,7,Sunday,July,是,是,否,夏季
2023-07-10,2023,3,7,28,10,1,Monday,July,否,是,否,夏季
2023-07-11,2023,3,7,28,11,2,Tuesday,July,否,否,否,夏季
2023-07-12,2023,3,7,28,12,3,Wednesday,July,否,否,否,夏季
2023-07-13,2023,3,7,28,13,4,Thursday,July,否,否,否,夏季
2023-07-14,2023,3,7,28,14,5,Friday,July,否,否,否,夏季
2023-07-15,2023,3,7,28,15,6,Saturday,July,是,否,否,夏季
2023-07-16,2023,3,7,28,16,7,Sunday,July,是,否,否,夏季
2023-07-17,2023,3,7,29,17,1,Monday,July,否,否,否,夏季
2023-07-18,2023,3,7,29,18,2,Tuesday,July,否,否,否,夏季
2023-07-19,2023,3,7,29,19,3,Wednesday,July,否,否,否,夏季
2023-07-20,2023,3,7,29,20,4,Thursday,July,否,否,是,夏季
2023-07-21,2023,3,7,29,21,5,Friday,July,否,否,是,夏季
2023-07-22,2023,3,7,29,22,6,Saturday,July,是,否,是,夏季
2023-07-23,2023,3,7,29,23,7,Sunday,July,是,否,是,夏季
2023-07-24,2023,3,7,30,24,1,Monday,July,否,否,是,夏季
2023-07-25,2023,3,7,30,25,2,Tuesday,July,否,否,是,夏季
2023-07-26,2023,3,7,30,26,3,Wednesday,July,否,否,是,夏季
2023-07-27,2023,3,7,30,27,4,Thursday,July,否,否,是,夏季
2023-07-28,2023,3,7,30,28,5,Friday,July,否,否,是,夏季
2023-07-29,2023,3,7,30,29,6,Saturday,July,是,否,是,夏季
2023-07-30,2023,3,7,30,30,7,Sunday,July,是,否,是,夏季
2023-07-31,2023,3,7,31,31,1,Monday,July,否,否,是,夏季
2023-08-01,2023,3,8,31,1,2,Tuesday,August,否,是,否,夏季
2023-08-02,2023,3,8,31,2,3,Wednesday,August,否,是,否,夏季
2023-08-03,2023,3,8,31,3,4,Thursday,August,否,是,否,夏季
2023-08-04,2023,3,8,31,4,5,Friday,August,否,是,否,夏季
2023-08-05,2023,3,8,31,5,6,Saturday,August,是,是,否,夏季
2023-08-06,2023,3,8,31,6,7,Sunday,August,是,是,否,夏季
2023-08-07,2023,3,8,32,7,1,Monday,August,否,是,否,夏季
2023-08-08,2023,3,8,32,8,2,Tuesday,August,否,是,否,夏季
2023-08-09,2023,3,8,32,9,3,Wednesday,August,否,是,否,夏季
2023-08-10,2023,3,8,32,10,4,Thursday,August,否,是,否,夏季
2023-08-11,2023,3,8,32,11,5,Friday,August,否,否,否,夏季
2023-08-12,2023,3,8,32,12,6,Saturday,August,是,否,否,夏季
2023-08-13,2023,3,8,32,13,7,Sunday,August,是,否,否,夏季
2023-08-14,2023,3,8,33,14,1,Monday,August,否,否,否,夏季
2023-08-15,2023,3,8,33,15,2,Tuesday,August,否,否,否,夏季
2023-08-16,2023,3,8,33,16,3,Wednesday,August,否,否,否,夏季
2023-08-17,2023,3,8,33,17,4,Thursday,August,否,否,否,夏季
2023-08-18,2023,3,8,33,18,5,Friday,August,否,否,否,夏季
2023-08-19,2023,3,8,33,19,6,Saturday,August,是,否,否,夏季
2023-08-20,2023,3,8,33,20,7,Sunday,August,是,否,是,夏季
2023-08-21,2023,3,8,34,21,1,Monday,August,否,否,是,夏季
2023-08-22,2023,3,8,34,22,2,Tuesday,August,否,否,是,夏季
2023-08-23,2023,3,8,34,23,3,Wednesday,August,否,否,是,夏季
2023-08-24,2023,3,8,34,24,4,Thursday,August,否,否,是,夏季
2023-08-25,2023,3,8,34,25,5,Friday,August,否,否,是,夏季
2023-08-26,2023,3,8,34,26,6,Saturday,August,是,否,是,夏季
2023-08-27,2023,3,8,34,27,7,Sunday,August,是,否,是,夏季
2023-08-28,2023,3,8,35,28,1,Monday,August,否,否,是,夏季
2023-08-29,2023,3,8,35,29,2,Tuesday,August,否,否,是,夏季
2023-08-30,2023,3,8,35,30,3,Wednesday,August,否,否,是,夏季
2023-08-31,2023,3,8,35,31,4,Thursday,August,否,否,是,夏季
2023-09-01,2023,3,9,35,1,5,Friday,September,否,是,否,秋季
2023-09-02,2023,3,9,35,2,6,Saturday,September,是,是,否,秋季
2023-09-03,2023,3,9,35,3,7,Sunday,September,是,是,否,秋季
2023-09-04,2023,3,9,36,4,1,Monday,September,否,是,否,秋季
2023-09-05,2023,3,9,36,5,2,Tuesday,September,否,是,否,秋季
2023-09-06,2023,3,9,36,6,3,Wednesday,September,否,是,否,秋季
2023-09-07,2023,3,9,36,7,4,Thursday,September,否,是,否,秋季
2023-09-08,2023,3,9,36,8,5,Friday,September,否,是,否,秋季
2023-09-09,2023,3,9,36,9,6,Saturday,September,是,是,否,秋季
2023-09-10,2023,3,9,36,10,7,Sunday,September,是,是,否,秋季
2023-09-11,2023,3,9,37,11,1,Monday,September,否,否,否,秋季
2023-09-12,2023,3,9,37,12,2,Tuesday,September,否,否,否,秋季
2023-09-13,2023,3,9,37,13,3,Wednesday,September,否,否,否,秋季
2023-09-14,2023,3,9,37,14,4,Thursday,September,否,否,否,秋季
2023-09-15,2023,3,9,37,15,5,Friday,September,否,否,否,秋季
2023-09-16,2023,3,9,37,16,6,Saturday,September,是,否,否,秋季
2023-09-17,2023,3,9,37,17,7,Sunday,September,是,否,否,秋季
2023-09-18,2023,3,9,38,18,1,Monday,September,否,否,否,秋季
2023-09-19,2023,3,9,38,19,2,Tuesday,September,否,否,否,秋季
2023-09-20,2023,3,9,38,20,3,Wednesday,September,否,否,是,秋季
2023-09-21,2023,3,9,38,21,4,Thursday,September,否,否,是,秋季
2023-09-22,2023,3,9,38,22,5,Friday,September,否,否,是,秋季
2023-09-23,2023,3,9,38,23,6,Saturday,September,是,否,是,秋季
2023-09-24,2023,3,9,38,24,7,Sunday,September,是,否,是,秋季
2023-09-25,2023,3,9,39,25,1,Monday,September,否,否,是,秋季
2023-09-26,2023,3,9,39,26,2,Tuesday,September,否,否,是,秋季
2023-09-27,2023,3,9,39,27,3,Wednesday,September,否,否,是,秋季
2023-09-28,2023,3,9,39,28,4,Thursday,September,否,否,是,秋季
2023-09-29,2023,3,9,39,29,5,Friday,September,否,否,是,秋季
2023-09-30,2023,3,9,39,30,6,Saturday,September,是,否,是,秋季
2023-10-01,2023,4,10,39,1,7,Sunday,October,是,是,否,秋季
2023-10-02,2023,4,10,40,2,1,Monday,October,否,是,否,秋季
2023-10-03,2023,4,10,40,3,2,Tuesday,October,否,是,否,秋季
2023-10-04,2023,4,10,40,4,3,Wednesday,October,否,是,否,秋季
2023-10-05,2023,4,10,40,5,4,Thursday,October,否,是,否,秋季
2023-10-06,2023,4,10,40,6,5,Friday,October,否,是,否,秋季
2023-10-07,2023,4,10,40,7,6,Saturday,October,是,是,否,秋季
2023-10-08,2023,4,10,40,8,7,Sunday,October,是,是,否,秋季
2023-10-09,2023,4,10,41,9,1,Monday,October,否,是,否,秋季
2023-10-10,2023,4,10,41,10,2,Tuesday,October,否,是,否,秋季
2023-10-11,2023,4,10,41,11,3,Wednesday,October,否,否,否,秋季
2023-10-12,2023,4,10,41,12,4,Thursday,October,否,否,否,秋季
2023-10-13,2023,4,10,41,13,5,Friday,October,否,否,否,秋季
2023-10-14,2023,4,10,41,14,6,Saturday,October,是,否,否,秋季
2023-10-15,2023,4,10,41,15,7,Sunday,October,是,否,否,秋季
2023-10-16,2023,4,10,42,16,1,Monday,October,否,否,否,秋季
2023-10-17,2023,4,10,42,17,2,Tuesday,October,否,否,否,秋季
2023-10-18,2023,4,10,42,18,3,Wednesday,October,否,否,否,秋季
2023-10-19,2023,4,10,42,19,4,Thursday,October,否,否,否,秋季
2023-10-20,2023,4,10,42,20,5,Friday,October,否,否,是,秋季
2023-10-21,2023,4,10,42,21,6,Saturday,October,是,否,是,秋季
2023-10-22,2023,4,10,42,22,7,Sunday,October,是,否,是,秋季
2023-10-23,2023,4,10,43,23,1,Monday,October,否,否,是,秋季
2023-10-24,2023,4,10,43,24,2,Tuesday,October,否,否,是,秋季
2023-10-25,2023,4,10,43,25,3,Wednesday,October,否,否,是,秋季
2023-10-26,2023,4,10,43,26,4,Thursday,October,否,否,是,秋季
2023-10-27,2023,4,10,43,27,5,Friday,October,否,否,是,秋季
2023-10-28,2023,4,10,43,28,6,Saturday,October,是,否,是,秋季
2023-10-29,2023,4,10,43,29,7,Sunday,October,是,否,是,秋季
2023-10-30,2023,4,10,44,30,1,Monday,October,否,否,是,秋季
2023-10-31,2023,4,10,44,31,2,Tuesday,October,否,否,是,秋季
2023-11-01,2023,4,11,44,1,3,Wednesday,November,否,是,否,秋季
2023-11-02,2023,4,11,44,2,4,Thursday,November,否,是,否,秋季
2023-11-03,2023,4,11,44,3,5,Friday,November,否,是,否,秋季
2023-11-04,2023,4,11,44,4,6,Saturday,November,是,是,否,秋季
2023-11-05,2023,4,11,44,5,7,Sunday,November,是,是,否,秋季
2023-11-06,2023,4,11,45,6,1,Monday,November,否,是,否,秋季
2023-11-07,2023,4,11,45,7,2,Tuesday,November,否,是,否,秋季
2023-11-08,2023,4,11,45,8,3,Wednesday,November,否,是,否,秋季
2023-11-09,2023,4,11,45,9,4,Thursday,November,否,是,否,秋季
2023-11-10,2023,4,11,45,10,5,Friday,November,否,是,否,秋季
2023-11-11,2023,4,11,45,11,6,Saturday,November,是,否,否,秋季
2023-11-12,2023,4,11,45,12,7,Sunday,November,是,否,否,秋季
2023-11-13,2023,4,11,46,13,1,Monday,November,否,否,否,秋季
2023-11-14,2023,4,11,46,14,2,Tuesday,November,否,否,否,秋季
