support,itemsets,length
0.47044004030903597,卡文克莱香水,1
0.3807524353375882,安娜苏香水,1
0.28585824655693653,博柏利香水,1
0.2831709774941216,兰蔻香水,1
0.2831709774941216,迪奥香水,1
0.28300302317769566,祖玛珑香水,1
0.27729257641921395,菲拉格慕香水,1
0.19096405777628486,"安娜苏香水, 卡文克莱香水",2
0.16711454484380248,Chanel/香奈儿香水小样 香奈儿邂逅绿粉黄色 coco小姐香水女士正品淡香 持久 邂逅白可可五号之水5件套,1
0.16425932146456165,Dior迪奥真我香水女士 -100ml淡香水EDT,1
0.1630836412495801,Dior迪奥女士香水女人生日礼物 迪奥小甜心小姐 真我女士香水发香雾迪奥真我发香喷雾 迪奥 迪奥真我发香雾30ml送礼盒无货预定中,1
0.16274773261672826,Dior迪奥女士香水Q版5ml小样  香水身体乳  礼盒包装 送手提袋 四件装 白色礼盒,1
0.16224386966745044,宝格丽女士香水,1
0.1615720524017467,菲拉格慕 甜心魔力/梦中情人女士淡香水 100ml,1
0.1614040980853208,马克.雅可布香水,1
0.16123614376889486,博士淡香水,1
0.16056432650319113,意大利原装进口Bvlgari宝格丽女士香水持久淡香氛 紫金纯香65ml,1
0.1603963721867652,Chanel香奈儿COCO可可小姐女士淡香水100ml,1
0.1598925092374874,古驰香水,1
0.15955660060463553,专柜正品chanel香奈儿coco可可小姐香水女士香氛 摩登coco浓香EDP100ml,1
0.15922069197178368,Chanel香奈儿香水女士淡香氛 5号之水EDT淡香100ml(新版),1
0.1587168290225059,阿玛尼Gio寄情水男士淡香水 50ML,1
0.158380920389654,迪奥Dior香水 真我女士浓香100ML,1
0.158380920389654,阿玛尼ARMANI 挚爱女士香水EDP 1.5ml*3,1
0.15787705744037622,美奥迪菲MYOSOTIS 豪华装法国女士香水夜用30ml清新持久淡香买一送7 红唇豪华版30毫升,1
0.15703728585824656,Gucci古驰花之舞花园系列女香之 栀子花/柑橘/紫罗兰等 -30ml栀子花正装,1
0.15703728585824656,Dior克丽丝汀迪奥女士香水 持久淡香氛 真我EDP浓香50ml(京东发货),1
0.15686933154182062,VERSACE范思哲晶钻 黑钻 幻影金钻 香恋明亮水晶5/30/50/90ml等 -晶钻30ml正装,1
0.15653342290896877,Chanel香奈儿香水女士淡香氛 粉色邂逅香水100ml,1
0.15636546859254283,迪奥（Dior/CD）香水女士 迪奥粉红魅惑香水女士100ml,1
0.1561975142761169,香奈儿可可小姐淡香水（瓶装）,1
0.15552569701041316,浪凡香水,1
0.15552569701041316,范思哲香水,1
0.15485387974470943, CHANEL香奈儿邂逅机会EDP女士香水100ml 黄色机遇持久浓香 ,1
0.1541820624790057,雅芳香氛喷雾香水50ml 送小黑裙身体乳香氛香水 小黑裙50ML送小黑裙身体乳,1
0.1541820624790057,万宝龙传奇女士香水 30ml,1
0.15401410816257977,LANVIN浪凡我愿意女士香水/Marry me嫁给我 -30ml,1
0.1526704736311723,【跨新年抢先购】精美礼盒晨露女士香水50ml持久清新淡香海洋香调 绿色,1
0.1525025193147464,"卡文克莱香水, 博柏利香水",2
0.15115888478333894,普拉达香水,1
0.14964729593550555,"卡文克莱香水, 迪奥香水",2
0.14931138730265367,CK因为你香水IN2U喜欢你50ml/100ml/150ml等 -因为你女香100ml,1
0.14662411823983876,古驰GUCCI女士香水 罪爱淡香氛 古驰罪爱75ml,1
0.14544843802485724,"卡文克莱香水, 祖玛珑香水",2
0.14309707759489418,"卡文克莱香水, 菲拉格慕香水",2
0.1425932146456164,"卡文克莱香水, 兰蔻香水",2
0.12630164595230098,"安娜苏香水, 博柏利香水",2
0.12210278804165267,"安娜苏香水, 兰蔻香水",2
0.12176687940880081,"安娜苏香水, 迪奥香水",2
0.1190796103459859,"安娜苏香水, 祖玛珑香水",2
0.11622438696674504,"安娜苏香水, 菲拉格慕香水",2
0.09657373194491098,"博柏利香水, 兰蔻香水",2
0.09422237151494793,"博柏利香水, 迪奥香水",2
0.09304669129996641,"博柏利香水, 菲拉格慕香水",2
0.09304669129996641,"迪奥香水, 兰蔻香水",2
0.09237487403426269,"博柏利香水, 祖玛珑香水",2
0.0913671481357071,"迪奥香水, 祖玛珑香水",2
0.09119919381928115,"祖玛珑香水, 兰蔻香水",2
0.09103123950285523,"迪奥香水, 菲拉格慕香水",2
0.08750419885791065,"宝格丽女士香水, 卡文克莱香水",2
0.08716829022505879,"卡文克莱香水, Chanel香奈儿香水女士淡香氛 粉色邂逅香水100ml",2
0.08700033590863285,"卡文克莱香水, 意大利原装进口Bvlgari宝格丽女士香水持久淡香氛 紫金纯香65ml",2
0.08683238159220692,"卡文克莱香水, Chanel香奈儿COCO可可小姐女士淡香水100ml",2
0.08632851864292912,"兰蔻香水, 菲拉格慕香水",2
0.08632851864292912,"祖玛珑香水, 菲拉格慕香水",2
0.08599261001007726,"卡文克莱香水, Chanel/香奈儿香水小样 香奈儿邂逅绿粉黄色 coco小姐香水女士正品淡香 持久 邂逅白可可五号之水5件套",2
0.08565670137722539,"卡文克莱香水, 专柜正品chanel香奈儿coco可可小姐香水女士香氛 摩登coco浓香EDP100ml",2
0.08532079274437353,"卡文克莱香水, 迪奥Dior香水 真我女士浓香100ML",2
0.08532079274437353,"卡文克莱香水, 马克.雅可布香水",2
0.08498488411152166,"卡文克莱香水, Dior迪奥女士香水Q版5ml小样  香水身体乳  礼盒包装 送手提袋 四件装 白色礼盒",2
0.08448102116224387,"美奥迪菲MYOSOTIS 豪华装法国女士香水夜用30ml清新持久淡香买一送7 红唇豪华版30毫升, 卡文克莱香水",2
0.08431306684581794,"卡文克莱香水, 博士淡香水",2
0.08431306684581794,"卡文克莱香水,  CHANEL香奈儿邂逅机会EDP女士香水100ml 黄色机遇持久浓香 ",2
0.08397715821296607,"迪奥（Dior/CD）香水女士 迪奥粉红魅惑香水女士100ml, 卡文克莱香水",2
0.08380920389654015,"卡文克莱香水, 古驰香水",2
0.08364124958011421,"Dior迪奥真我香水女士 -100ml淡香水EDT, 卡文克莱香水",2
0.08347329526368828,"卡文克莱香水, 香奈儿可可小姐淡香水（瓶装）",2
0.08313738663083642,"Dior克丽丝汀迪奥女士香水 持久淡香氛 真我EDP浓香50ml(京东发货), 卡文克莱香水",2
0.08246556936513269,"卡文克莱香水, 菲拉格慕 甜心魔力/梦中情人女士淡香水 100ml",2
0.08229761504870675,"卡文克莱香水, Chanel香奈儿香水女士淡香氛 5号之水EDT淡香100ml(新版)",2
0.08212966073228083,"卡文克莱香水, CK因为你香水IN2U喜欢你50ml/100ml/150ml等 -因为你女香100ml",2
0.08196170641585489,"卡文克莱香水, 阿玛尼Gio寄情水男士淡香水 50ML",2
0.08179375209942895,"浪凡香水, 卡文克莱香水",2
0.08179375209942895,"卡文克莱香水, VERSACE范思哲晶钻 黑钻 幻影金钻 香恋明亮水晶5/30/50/90ml等 -晶钻30ml正装",2
0.08162579778300302,"卡文克莱香水, Gucci古驰花之舞花园系列女香之 栀子花/柑橘/紫罗兰等 -30ml栀子花正装",2
0.08145784346657708,"卡文克莱香水, 范思哲香水",2
0.08128988915015116,"卡文克莱香水, 【跨新年抢先购】精美礼盒晨露女士香水50ml持久清新淡香海洋香调 绿色",2
0.0809539805172993,"卡文克莱香水, 雅芳香氛喷雾香水50ml 送小黑裙身体乳香氛香水 小黑裙50ML送小黑裙身体乳",2
0.08078602620087336,"卡文克莱香水, Dior迪奥女士香水女人生日礼物 迪奥小甜心小姐 真我女士香水发香雾迪奥真我发香喷雾 迪奥 迪奥真我发香雾30ml送礼盒无货预定中",2
0.08045011756802149,"卡文克莱香水, LANVIN浪凡我愿意女士香水/Marry me嫁给我 -30ml",2
0.08028216325159557,"卡文克莱香水, 普拉达香水",2
0.07927443735303998,"卡文克莱香水, 阿玛尼ARMANI 挚爱女士香水EDP 1.5ml*3",2
0.07826671145448438,"卡文克莱香水, 万宝龙传奇女士香水 30ml",2
0.07725898555592879,"卡文克莱香水, 古驰GUCCI女士香水 罪爱淡香氛 古驰罪爱75ml",2
0.07557944239166947,"安娜苏香水, Dior迪奥女士香水女人生日礼物 迪奥小甜心小姐 真我女士香水发香雾迪奥真我发香喷雾 迪奥 迪奥真我发香雾30ml送礼盒无货预定中",2
0.07490762512596574,"安娜苏香水, Chanel/香奈儿香水小样 香奈儿邂逅绿粉黄色 coco小姐香水女士正品淡香 持久 邂逅白可可五号之水5件套",2
0.07171649311387303,"安娜苏香水, 范思哲香水",2
0.07154853879744709,"安娜苏香水, 卡文克莱香水, 博柏利香水",3
0.0710446758481693,"安娜苏香水, 卡文克莱香水, 迪奥香水",3
0.07037285858246557,"安娜苏香水, 博士淡香水",2
0.07020490426603963,"安娜苏香水, 阿玛尼ARMANI 挚爱女士香水EDP 1.5ml*3",2
0.07003694994961371,"安娜苏香水, 迪奥Dior香水 真我女士浓香100ML",2
0.07003694994961371,"安娜苏香水, Gucci古驰花之舞花园系列女香之 栀子花/柑橘/紫罗兰等 -30ml栀子花正装",2
0.06936513268390998,"安娜苏香水, Chanel香奈儿COCO可可小姐女士淡香水100ml",2
0.06936513268390998,"安娜苏香水,  CHANEL香奈儿邂逅机会EDP女士香水100ml 黄色机遇持久浓香 ",2
0.06902922405105812,"迪奥（Dior/CD）香水女士 迪奥粉红魅惑香水女士100ml, 安娜苏香水",2
0.06902922405105812,"美奥迪菲MYOSOTIS 豪华装法国女士香水夜用30ml清新持久淡香买一送7 红唇豪华版30毫升, 安娜苏香水",2
0.06886126973463218,"安娜苏香水, 马克.雅可布香水",2
0.06869331541820625,"Dior迪奥真我香水女士 -100ml淡香水EDT, 安娜苏香水",2
0.06869331541820625,"安娜苏香水, Chanel香奈儿香水女士淡香氛 5号之水EDT淡香100ml(新版)",2
0.06852536110178031,"安娜苏香水, 香奈儿可可小姐淡香水（瓶装）",2
0.06852536110178031,"安娜苏香水, 菲拉格慕 甜心魔力/梦中情人女士淡香水 100ml",2
0.06835740678535439,"安娜苏香水, VERSACE范思哲晶钻 黑钻 幻影金钻 香恋明亮水晶5/30/50/90ml等 -晶钻30ml正装",2
0.06818945246892845,"安娜苏香水, 浪凡香水",2
0.06785354383607659,"安娜苏香水, 宝格丽女士香水",2
0.0673496808867988,"安娜苏香水, 专柜正品chanel香奈儿coco可可小姐香水女士香氛 摩登coco浓香EDP100ml",2
0.0673496808867988,"安娜苏香水, Dior迪奥女士香水Q版5ml小样  香水身体乳  礼盒包装 送手提袋 四件装 白色礼盒",2
0.06701377225394693,"安娜苏香水, LANVIN浪凡我愿意女士香水/Marry me嫁给我 -30ml",2
0.066845817937521,"安娜苏香水, 普拉达香水",2
0.06667786362109507,"安娜苏香水, 古驰香水",2
0.06667786362109507,"安娜苏香水, 阿玛尼Gio寄情水男士淡香水 50ML",2
0.0663419549882432,"安娜苏香水, 意大利原装进口Bvlgari宝格丽女士香水持久淡香氛 紫金纯香65ml",2
0.06617400067181727,"安娜苏香水, Chanel香奈儿香水女士淡香氛 粉色邂逅香水100ml",2
0.06600604635539134,"安娜苏香水, 雅芳香氛喷雾香水50ml 送小黑裙身体乳香氛香水 小黑裙50ML送小黑裙身体乳",2
0.06550218340611354,"安娜苏香水, 卡文克莱香水, 兰蔻香水",3
0.0653342290896876,"安娜苏香水, 万宝龙传奇女士香水 30ml",2
0.06483036614040981,"安娜苏香水, 卡文克莱香水, 祖玛珑香水",3
0.06483036614040981,"安娜苏香水, CK因为你香水IN2U喜欢你50ml/100ml/150ml等 -因为你女香100ml",2
0.06466241182398387,"安娜苏香水, Dior克丽丝汀迪奥女士香水 持久淡香氛 真我EDP浓香50ml(京东发货)",2
0.06449445750755795,"安娜苏香水, 卡文克莱香水, 菲拉格慕香水",3
0.06331877729257641,"安娜苏香水, 【跨新年抢先购】精美礼盒晨露女士香水50ml持久清新淡香海洋香调 绿色",2
0.0621430970775949,"安娜苏香水, 古驰GUCCI女士香水 罪爱淡香氛 古驰罪爱75ml",2
0.056768558951965066,"Gucci古驰花之舞花园系列女香之 栀子花/柑橘/紫罗兰等 -30ml栀子花正装, 博柏利香水",2
0.05626469600268727,"卡文克莱香水, 博柏利香水, 迪奥香水",3
0.05626469600268727,"卡文克莱香水, 博柏利香水, 祖玛珑香水",3
0.05626469600268727,"祖玛珑香水, Dior迪奥女士香水女人生日礼物 迪奥小甜心小姐 真我女士香水发香雾迪奥真我发香喷雾 迪奥 迪奥真我发香雾30ml送礼盒无货预定中",2
0.05559287873698354,"范思哲香水, 博柏利香水",2
0.05525697010413168,"卡文克莱香水, 迪奥香水, 菲拉格慕香水",3
0.05525697010413168,"专柜正品chanel香奈儿coco可可小姐香水女士香氛 摩登coco浓香EDP100ml, 博柏利香水",2
0.05525697010413168,"博柏利香水, 香奈儿可可小姐淡香水（瓶装）",2
0.054921061471279814,"Dior迪奥女士香水Q版5ml小样  香水身体乳  礼盒包装 送手提袋 四件装 白色礼盒, 祖玛珑香水",2
0.05475310715485388,"兰蔻香水, 意大利原装进口Bvlgari宝格丽女士香水持久淡香氛 紫金纯香65ml",2
0.05475310715485388,"浪凡香水, 迪奥香水",2
0.05475310715485388,"宝格丽女士香水, 博柏利香水",2
0.05475310715485388," CHANEL香奈儿邂逅机会EDP女士香水100ml 黄色机遇持久浓香 , 迪奥香水",2
0.05475310715485388,"博柏利香水, 阿玛尼ARMANI 挚爱女士香水EDP 1.5ml*3",2
0.05458515283842795,"卡文克莱香水, 祖玛珑香水, 兰蔻香水",3
0.05441719852200202,"卡文克莱香水, 迪奥香水, 祖玛珑香水",3
0.05441719852200202,"Chanel/香奈儿香水小样 香奈儿邂逅绿粉黄色 coco小姐香水女士正品淡香 持久 邂逅白可可五号之水5件套, 迪奥香水",2
0.054249244205576086,"迪奥香水, 香奈儿可可小姐淡香水（瓶装）",2
0.054249244205576086,"卡文克莱香水, 博柏利香水, 菲拉格慕香水",3
0.054081289889150154,"美奥迪菲MYOSOTIS 豪华装法国女士香水夜用30ml清新持久淡香买一送7 红唇豪华版30毫升, 祖玛珑香水",2
0.054081289889150154,"博柏利香水, 菲拉格慕 甜心魔力/梦中情人女士淡香水 100ml",2
0.054081289889150154,"卡文克莱香水, 博柏利香水, 兰蔻香水",3
0.054081289889150154,"专柜正品chanel香奈儿coco可可小姐香水女士香氛 摩登coco浓香EDP100ml, 迪奥香水",2
0.054081289889150154,"博柏利香水, Dior迪奥女士香水女人生日礼物 迪奥小甜心小姐 真我女士香水发香雾迪奥真我发香喷雾 迪奥 迪奥真我发香雾30ml送礼盒无货预定中",2
0.05391333557272422,"卡文克莱香水, 迪奥香水, 兰蔻香水",3
0.05391333557272422,"雅芳香氛喷雾香水50ml 送小黑裙身体乳香氛香水 小黑裙50ML送小黑裙身体乳, 博柏利香水",2
0.05391333557272422,"迪奥Dior香水 真我女士浓香100ML, 博柏利香水",2
0.05391333557272422,"Dior迪奥真我香水女士 -100ml淡香水EDT, 兰蔻香水",2
0.05357742693987236,"迪奥香水, Dior迪奥女士香水女人生日礼物 迪奥小甜心小姐 真我女士香水发香雾迪奥真我发香喷雾 迪奥 迪奥真我发香雾30ml送礼盒无货预定中",2
0.053409472623446426,"Chanel/香奈儿香水小样 香奈儿邂逅绿粉黄色 coco小姐香水女士正品淡香 持久 邂逅白可可五号之水5件套, 菲拉格慕香水",2
0.053409472623446426,"博柏利香水, 意大利原装进口Bvlgari宝格丽女士香水持久淡香氛 紫金纯香65ml",2
0.053409472623446426,"阿玛尼Gio寄情水男士淡香水 50ML, 兰蔻香水",2
0.053409472623446426,"Chanel/香奈儿香水小样 香奈儿邂逅绿粉黄色 coco小姐香水女士正品淡香 持久 邂逅白可可五号之水5件套, 博柏利香水",2
0.053409472623446426,"Dior迪奥真我香水女士 -100ml淡香水EDT, 菲拉格慕香水",2
0.05324151830702049,"宝格丽女士香水, 祖玛珑香水",2
0.05324151830702049,"VERSACE范思哲晶钻 黑钻 幻影金钻 香恋明亮水晶5/30/50/90ml等 -晶钻30ml正装, 博柏利香水",2
0.05324151830702049,"迪奥（Dior/CD）香水女士 迪奥粉红魅惑香水女士100ml, 兰蔻香水",2
0.05324151830702049,"Gucci古驰花之舞花园系列女香之 栀子花/柑橘/紫罗兰等 -30ml栀子花正装, 迪奥香水",2
0.053073563990594555,"宝格丽女士香水, 迪奥香水",2
0.053073563990594555,"古驰香水, 博柏利香水",2
0.053073563990594555,"古驰香水, 兰蔻香水",2
0.05290560967416862,"博柏利香水, Chanel香奈儿COCO可可小姐女士淡香水100ml",2
0.05290560967416862,"阿玛尼Gio寄情水男士淡香水 50ML, 博柏利香水",2
0.05290560967416862,"VERSACE范思哲晶钻 黑钻 幻影金钻 香恋明亮水晶5/30/50/90ml等 -晶钻30ml正装, 祖玛珑香水",2
0.05290560967416862,"Chanel香奈儿COCO可可小姐女士淡香水100ml, 兰蔻香水",2
0.05290560967416862,"万宝龙传奇女士香水 30ml, 博柏利香水",2
0.05273765535774269,"古驰香水, 祖玛珑香水",2
0.05273765535774269,"迪奥香水, LANVIN浪凡我愿意女士香水/Marry me嫁给我 -30ml",2
0.05273765535774269,"Chanel/香奈儿香水小样 香奈儿邂逅绿粉黄色 coco小姐香水女士正品淡香 持久 邂逅白可可五号之水5件套, 祖玛珑香水",2
0.05273765535774269," CHANEL香奈儿邂逅机会EDP女士香水100ml 黄色机遇持久浓香 , 博柏利香水",2
0.05273765535774269,"菲拉格慕香水, 意大利原装进口Bvlgari宝格丽女士香水持久淡香氛 紫金纯香65ml",2
0.05256970104131676,"迪奥（Dior/CD）香水女士 迪奥粉红魅惑香水女士100ml, 菲拉格慕香水",2
0.05256970104131676,"祖玛珑香水, Chanel香奈儿香水女士淡香氛 粉色邂逅香水100ml",2
0.05256970104131676,"专柜正品chanel香奈儿coco可可小姐香水女士香氛 摩登coco浓香EDP100ml, 兰蔻香水",2
0.05240174672489083,"阿玛尼Gio寄情水男士淡香水 50ML, 迪奥香水",2
0.05240174672489083,"Chanel香奈儿香水女士淡香氛 5号之水EDT淡香100ml(新版), 菲拉格慕香水",2
0.05240174672489083,"Dior迪奥女士香水女人生日礼物 迪奥小甜心小姐 真我女士香水发香雾迪奥真我发香喷雾 迪奥 迪奥真我发香雾30ml送礼盒无货预定中, 兰蔻香水",2
0.052233792408464895,"Dior迪奥女士香水Q版5ml小样  香水身体乳  礼盒包装 送手提袋 四件装 白色礼盒, 博柏利香水",2
0.052233792408464895,"Dior迪奥女士香水Q版5ml小样  香水身体乳  礼盒包装 送手提袋 四件装 白色礼盒, 兰蔻香水",2
0.052233792408464895,"VERSACE范思哲晶钻 黑钻 幻影金钻 香恋明亮水晶5/30/50/90ml等 -晶钻30ml正装, 迪奥香水",2
0.052233792408464895,"浪凡香水, 祖玛珑香水",2
0.052233792408464895,"马克.雅可布香水, 祖玛珑香水",2
0.052233792408464895,"Dior迪奥女士香水女人生日礼物 迪奥小甜心小姐 真我女士香水发香雾迪奥真我发香喷雾 迪奥 迪奥真我发香雾30ml送礼盒无货预定中, 菲拉格慕香水",2
0.05206583809203896,"Gucci古驰花之舞花园系列女香之 栀子花/柑橘/紫罗兰等 -30ml栀子花正装, 祖玛珑香水",2
0.05206583809203896,"VERSACE范思哲晶钻 黑钻 幻影金钻 香恋明亮水晶5/30/50/90ml等 -晶钻30ml正装, 菲拉格慕香水",2
0.05206583809203896,"VERSACE范思哲晶钻 黑钻 幻影金钻 香恋明亮水晶5/30/50/90ml等 -晶钻30ml正装, 兰蔻香水",2
0.05206583809203896,"Dior克丽丝汀迪奥女士香水 持久淡香氛 真我EDP浓香50ml(京东发货), 祖玛珑香水",2
0.05206583809203896,"祖玛珑香水, 意大利原装进口Bvlgari宝格丽女士香水持久淡香氛 紫金纯香65ml",2
0.05206583809203896,"Dior迪奥真我香水女士 -100ml淡香水EDT, 博柏利香水",2
0.05206583809203896,"Chanel香奈儿COCO可可小姐女士淡香水100ml, 祖玛珑香水",2
0.05189788377561303,"范思哲香水, 祖玛珑香水",2
0.05189788377561303,"博柏利香水, LANVIN浪凡我愿意女士香水/Marry me嫁给我 -30ml",2
0.05189788377561303,"雅芳香氛喷雾香水50ml 送小黑裙身体乳香氛香水 小黑裙50ML送小黑裙身体乳, 兰蔻香水",2
0.05189788377561303,"迪奥Dior香水 真我女士浓香100ML, 迪奥香水",2
0.05189788377561303,"Dior迪奥女士香水Q版5ml小样  香水身体乳  礼盒包装 送手提袋 四件装 白色礼盒, 菲拉格慕香水",2
0.05189788377561303,"迪奥香水, 意大利原装进口Bvlgari宝格丽女士香水持久淡香氛 紫金纯香65ml",2
0.05189788377561303,"Dior迪奥真我香水女士 -100ml淡香水EDT, 迪奥香水",2
0.0517299294591871,"马克.雅可布香水, 兰蔻香水",2
0.0517299294591871,"古驰香水, 迪奥香水",2
0.0517299294591871,"Dior迪奥真我香水女士 -100ml淡香水EDT, 祖玛珑香水",2
0.0517299294591871,"博士淡香水, 兰蔻香水",2
0.0517299294591871,"浪凡香水, 博柏利香水",2
0.05156197514276117,"兰蔻香水, Chanel香奈儿香水女士淡香氛 粉色邂逅香水100ml",2
0.05156197514276117,"菲拉格慕香水, CK因为你香水IN2U喜欢你50ml/100ml/150ml等 -因为你女香100ml",2
0.05156197514276117,"Chanel/香奈儿香水小样 香奈儿邂逅绿粉黄色 coco小姐香水女士正品淡香 持久 邂逅白可可五号之水5件套, 兰蔻香水",2
0.05156197514276117,"博士淡香水, 迪奥香水",2
0.051394020826335235,"Chanel香奈儿香水女士淡香氛 5号之水EDT淡香100ml(新版), 迪奥香水",2
0.051394020826335235,"博士淡香水, 菲拉格慕香水",2
0.051394020826335235,"迪奥（Dior/CD）香水女士 迪奥粉红魅惑香水女士100ml, 博柏利香水",2
0.051394020826335235,"祖玛珑香水, 香奈儿可可小姐淡香水（瓶装）",2
0.0512260665099093,"Chanel香奈儿香水女士淡香氛 5号之水EDT淡香100ml(新版), 兰蔻香水",2
0.0512260665099093,"Chanel香奈儿COCO可可小姐女士淡香水100ml, 菲拉格慕香水",2
0.0512260665099093,"Dior迪奥女士香水Q版5ml小样  香水身体乳  礼盒包装 送手提袋 四件装 白色礼盒, 迪奥香水",2
0.0512260665099093,"兰蔻香水, 阿玛尼ARMANI 挚爱女士香水EDP 1.5ml*3",2
0.0512260665099093,"迪奥香水, Chanel香奈儿香水女士淡香氛 粉色邂逅香水100ml",2
0.05105811219348337,"马克.雅可布香水, 博柏利香水",2
0.05105811219348337,"博士淡香水, 博柏利香水",2
0.05105811219348337," CHANEL香奈儿邂逅机会EDP女士香水100ml 黄色机遇持久浓香 , 菲拉格慕香水",2
0.05105811219348337,"Gucci古驰花之舞花园系列女香之 栀子花/柑橘/紫罗兰等 -30ml栀子花正装, 兰蔻香水",2
0.05105811219348337,"范思哲香水, 迪奥香水",2
0.05105811219348337,"Chanel香奈儿香水女士淡香氛 5号之水EDT淡香100ml(新版), 博柏利香水",2
0.05105811219348337,"美奥迪菲MYOSOTIS 豪华装法国女士香水夜用30ml清新持久淡香买一送7 红唇豪华版30毫升, 迪奥香水",2
0.05105811219348337,"Chanel香奈儿香水女士淡香氛 5号之水EDT淡香100ml(新版), 祖玛珑香水",2
0.05089015787705744,"迪奥Dior香水 真我女士浓香100ML, 菲拉格慕香水",2
0.05089015787705744,"万宝龙传奇女士香水 30ml, 祖玛珑香水",2
0.05089015787705744,"菲拉格慕 甜心魔力/梦中情人女士淡香水 100ml, 菲拉格慕香水",2
0.05072220356063151,"祖玛珑香水, 阿玛尼ARMANI 挚爱女士香水EDP 1.5ml*3",2
0.05072220356063151," CHANEL香奈儿邂逅机会EDP女士香水100ml 黄色机遇持久浓香 , 兰蔻香水",2
